"","industry","AUS","AUT","BEL","BGR","BRA","CAN","CYP","CZE","DEU","DNK","ESP","EST","FIN","FRA","GBR","GRC","HRV","HUN","CHE","CHN","IDN","IND","IRL","ITA","JPN","KOR","LTU","LUX","LVA","MEX","MLT","NOR","POL","PRT","ROU","RUS","SVK","SVN","SWE","TUR","TWN","USA"
"1","vA01",8941.7482531836,4738.46536384024,5353.26467486216,1244.04915850702,94073.9724687982,32653.4297833409,566.883624271081,3478.1449379619,16966,7957.91015625,18827.4419859264,732.903265806827,5255.08196394967,28341.5053931378,13083.3432413324,8294.03093093178,0,2780.56158998797,1435.01899951579,353756.499350854,1244.17120434099,607076.445138446,1936.88344101611,20215.9317467537,7207.15899538267,36127.9192710271,815.475621239092,139.475423055305,815.407143572285,35776.36304464,47.2985270957656,5918.82911230695,6205.25952893006,2745.55332507781,3290.45906970512,164866.512950531,1016.91850178116,192.437576496493,4161.7789430712,18248.6435705407,6819.46698332902,18092.6180804911
"2","vA02",54.9890549793438,0,0.0152243919927768,65.0180524632773,2189.35181120177,2025.38492897543,0.218435728918744,191.981277750807,528,47.7690010070801,62.9416328822828,24.0225467902462,775.954711130809,450.606107358278,760.864799374874,0.86875295735229,0,129.761130949672,2068.41150448421,36077.6833631117,423.109941523778,1119.81048555434,72.2781429838943,124.753314347638,761.075028617328,2687.06616897294,15.2339691179763,0.990580055267138,48.6772981081854,330.93509935996,0,436.298975312239,99.4431134248785,70.1534109221906,702.395184807893,0,51.5632930731975,64.8115009765701,455.340360928798,107.459933459255,43.3681046709849,146.122752543397
"3","vA03",5.63660469737256,0,0.00253739866546279,7.36790567121638,0,3.53126075048151,10.801944,28.8798966280043,528,267.678985595703,16.9439587589902,36.1581170458537,0.00260927026047747,691.524474052255,0.0959169746670149,3.26141018484915,0,43.2255892659064,0,2635.00762694934,0,0,0,625.61582588857,1987.557696,9995.398848,14.5195263861517,0,29.112249969474,0,3.600648,725.383948364448,3.62705896089256,162.02916,7.24276518453607,1328.513508,0.0271497878430849,0.00460092811278764,0,230.441472,3337.800696,5.28710251158352
"4","vB",101076.42301064,3573.87792402085,1580.69969639199,8122.81570089508,82490.84568,122395.19066241,104.418792,6617.52542994369,33731,338.29599571228,7617.50608145637,856.229737404878,5065.49313836483,7514.32527078061,6220.7800666616,3166.51581285988,399.671928,2189.32662258814,2718.31927993628,1005758.58274537,6841.29864564075,723.730248,2426.836752,4842.76619136768,6038.286696,5718.12558342777,174.215493515706,43.2285753988925,90.9590216601498,82247.8972281205,7.201296,25906.7612145675,37546.7221886849,2909.658528,7797.59277664091,662373.618079804,508.330021404334,775.292707246472,13680.1849188272,15240.6063703522,1782.32076,267977.00926827
"5","vC10_12",21441.4599401676,8619.80577118885,22037.6582288824,4487.55041709916,97343.51868,20858.7544848532,579.704328,8077.97463264494,78399,9037.98220825195,39439.1988898321,1262.56672423024,12366.8154396349,75042.372562932,41811.2628474117,7848.18828739283,0,8553.48636442393,9582.622236,523844.496609105,22077.9607512938,68545.535976,7215.698592,59268.9607443132,89130.440592,42290.489988,2925.37707350859,706.144352109186,1158.26785525902,74925.5550130643,216.03888,10274.2505025095,22803.1067157591,8367.487272,7590.55732631968,228694.274105234,2230.88513467683,1130.07399077288,10452.7332135952,30459.0097502107,13984.916832,287115.113227508
"6","vC13_15",2198.29885155535,1367.83134309129,4101.50155896893,1618.20690966078,26054.288928,3262.08359470324,18.00324,2917.33719273434,9662,468.767993927002,6083.16489249032,479.838446130732,1003.08948954048,6098.51928517721,10123.5850206157,713.708083755604,0,718.512135723277,885.550068,936371.750156552,23062.5991077639,122332.0158,432.07776,21105.8971657018,12688.683552,61000.21062,618.006147653793,577.203478021733,146.694750579547,14158.2001501349,108.01944,282.203523445147,2495.41203665413,6268.393224,3217.14174759353,24012.1390231332,550.017130199531,423.865499658315,832.571742791619,71048.8176044599,20577.70332,65580.1280186518
"7","vC16",2445.65903802194,8685.84680730747,1357.52295535863,712.506183088719,12642.9974222576,15102.4849788539,18.00324,1835.97568795986,21304,968.327987670898,3944.30971404433,1363.52193657366,12793.7206769999,7879.00754267638,10203.3688678377,470.126207960309,973.933416,928.775675732562,2591.9411822594,132763.498466898,6249.46916818072,3366.60588,1451.061144,12034.5022544498,12613.069944,7296.378228,1471.68534270808,57.6428713048829,2921.08552029432,4715.08689677416,7.201296,2491.0699089193,9523.75711729885,1907.882892,3622.20737123636,60098.2759223658,531.252794363195,591.894512446934,8142.93076114741,9238.29805802901,1476.26568,79677.4907980811
"8","vC17",10452.1102123179,16853.0315044516,7227.89695401883,1238.04269447387,69002.0669032038,130965.257652192,16.3094234887189,5460.26936524665,99953,829.650020599365,17968.8657293171,1192.28005441387,79130.9626142929,27113.8565798138,35275.8038596467,1557.56867982897,0,3716.86331618878,6627.58975480742,414900.85755766,14793.8451734956,17210.9421238559,313.4588323435,57944.0648333507,89417.8905211735,39500.5338571663,532.236808308867,89.3856172039425,52.0121731660393,28416.359137271,28.2325564593759,11805.5896779245,14207.1828494342,14051.641725433,1686.79483863001,230320.543069006,4337.91176729271,2097.00557053416,73340.0543107332,14524.8648685113,11075.1200209055,195683.715854587
"9","vC18",3563.66605517796,783.310356313913,3155.41905988776,239.800166196138,5570.95382479618,10264.8038168645,41.3009445112811,1515.56554997779,9011,541.668991088867,3036.16315277734,155.301066647594,1518.6134916259,3045.94968331291,5049.9789073676,418.546560394523,0,711.612093648994,846.685605192578,52493.4469541143,822.8432086505,6052.84460414405,478.6837276565,8441.5988349626,15386.1708148265,7291.85469883375,38.2939855728206,55.6552952919114,64.0922860238047,3651.85877796373,54.5823475406241,1235.11115868838,3717.45915031994,852.403310566979,332.787889215352,0,392.351979554631,383.792018833772,2531.16173361992,4191.94944353756,3601.12122709449,25238.8206519363
"10","vC19",4757.37811938337,3190.65141692109,9217.07103212635,8601.15435502321,16951.360257219,18531.6532329325,12.0427042268179,5798.36808662518,33251,1641.23699951172,15252.5440029845,969.524884980739,7742.65329886485,14338.2635244386,31890.7297827204,2824.48214182837,849.752928,3873.02504585461,0,624571.981246988,0,17691.1298140905,590.530603797234,50995.9871927567,43063.9315896118,45408.818628,2155.04644385002,0,0.00458307417125376,6711.607872,0,1867.01198048726,11933.6370238079,12819.16783863,7483.39437296755,413840.2382559,2606.07447416001,0.0265092118531095,3877.45040493952,4097.40811021664,15610.986216,245715.126179796
"11","vC20",14805.3768175375,17526.3399693248,62571.1664851539,19447.2431584532,80514.089928,82160.1597761617,136.824624,25324.1126935173,267601,3441.85211181641,33000.7834636064,1021.28777148878,27937.5714109729,72453.5717158599,67267.9377721222,2377.96274256501,1553.260932,20474.7659130549,13046.529348,2963697.37192732,13471.2599564515,132658.674264,6146.306136,88984.6469617479,179434.692432,239243.549112,10890.4147446876,1586.17844922429,256.627785790606,48510.8761646171,147.626568,28079.3801571677,32774.4650970564,9161.681364,19335.7838184344,635424.742412721,6728.46406299989,3538.51623440709,16366.6294152482,18128.2439195461,135153.923328,513183.080126743
"12","vC21",10.1271757635722,1862.48562219719,0.152878269594133,0.782115865917302,0,9.64904409064527,0,0.532155589649986,7558,1886.88702392578,17.1943620904038,0.0433248702439024,0.0066681351101091,0.511259466872451,0.375674817445808,1.89053395856847,0,0.297901528207069,0,368.196248351461,0,0,0,47.1908660431539,0,0,0.0632595859509286,0.0219252805267457,0.508721233009167,1894.02588755056,0,0.0870368612867237,0.206445677643516,0,0.209230885613811,0,0.328814097210695,0.140903423454121,0,0,0,4.32889367646473
"13","vC22",52.7344901742229,4132.12254729732,1684.60593584121,2616.19726498954,36947.3071947905,43578.3933430151,46.9925742238489,4879.4522119712,57881,2095.09896087646,8196.72248434903,240.636194102065,2342.84587763624,15698.2371843004,44365.4007173612,4441.91996079791,0,4157.42681556728,4065.22883785642,523541.036231501,12735.7879558822,127181.170745754,1085.86387045139,31088.1980438195,60832.0875609244,1744.06814264068,465.859297770182,651.507768970341,88.0897029730819,21603.8637697275,152.360213327518,460.730639392081,8957.65326775506,888.023473503261,1783.94046252872,23505.2251294959,2136.23547052808,892.100561326766,7772.44538225448,44002.6749703187,10829.0211917468,271011.204268156
"14","vC23",15814.2754190722,6642.45990892023,10348.4342607596,3049.74498369089,44525.613168,24228.4324632782,540.0972,8236.86630718104,44241,2745.02795028687,20231.3717020348,806.42847984,3157.62242295938,29364.3759309991,24926.6598427854,3956.18949476762,1987.557696,4463.90794519383,5522.55197987237,1208766.55625005,20678.6176402596,70720.327368,2153.187504,38632.9535226141,80377.265304,42281.697708,931.605609945209,963.195546714478,965.928424839499,66115.6769918837,21.603888,3304.34260547415,17290.8933642787,7269.205896,6956.16882657474,176043.053209084,2737.1397002506,1352.76462826331,4073.02605328678,52024.7158538007,20678.521464,114924.060139034
"15","vC24",149346.831234784,18037.9556051066,22658.1745216053,6792.86373738298,211579.686792,217470.066241354,7.201296,15541.8392763803,160904.577988,1665.62603759766,79181.382403352,26.0853798003907,28181.9573912837,72945.5439404608,39599.3173290281,19759.3953097567,918.16524,5162.14226100921,6902.819028,4058423.68694149,14784.0721787488,297019.907977909,2689.684056,79588.3426929957,272774.109026388,232390.301796,81.8979762162329,5464.48606560986,59.3439087932293,66337.1017349308,4.98070288305338,89840.1328997516,32400.224165514,5578.61488967945,19984.4271607238,832347.35608245,20635.0425873522,7565.44400511029,29513.3679657292,100883.850721957,62438.543892,448104.954012507
"16","vC25",4637.14882512639,5191.69729963169,1014.0667384698,1232.63645169572,22243.0039490457,4424.39299407579,39.4900606205625,4652.92295939593,61334,2172.55200195312,6987.94809521826,586.916430002192,4631.7216059412,19431.5457915111,19824.9098959791,325.810745511453,0,2137.45038634589,1845.9187468163,616953.273768321,21240.4298077714,5373.89707500737,1013.66734194036,16517.069385299,41065.1882018156,66030.9573490893,192.038741267811,225.530959297472,132.925133384186,14157.3543322639,63.7391622798607,1607.51891552087,8618.30639652261,2634.08070314938,2248.29082083938,0,2260.91903738817,1725.66122287791,7775.87198872043,8769.24420304555,33806.1485694137,261367.752484716
"17","vC26",175.37949206454,1890.16178277519,164.868983677747,115.052529316318,2866.34649040398,1439.01613881023,0.0200170464762393,1846.43304693692,18983,534.181007385254,917.591888726774,156.436351619728,1037.01761043537,7396.63873051474,5134.1543880126,74.2190736124498,0,1587.42302527159,7789.84784556205,251260.347545838,14146.0039135116,7472.52936583231,1756.11525307853,7481.8377401928,57889.8323922861,132964.645700353,115.794331016906,10.5985621856388,13.3995881082252,3414.89770244115,13.6783554010242,253.950548876901,1264.8512759484,402.997946214432,825.512354575564,63375.5844057031,336.760320057031,207.034041698904,1096.96189353031,1480.49278093856,121238.781744988,54018.0377093872
"18","vC27",567.276085397042,2801.26594137675,300.258660562677,663.522974834471,10887.4833010791,989.328500704869,4.52424615462143,2389.13013215038,28929,469.574005126953,1592.48420830704,196.34691199191,1212.43568566431,6499.24251368064,4684.59858805537,117.281306760456,0,1414.83969661908,2827.29635976274,252997.513755512,15613.2098444297,11898.4017226406,426.349276805767,3837.09419026384,28040.6223276328,30541.0333245129,35.448272589873,24.2273779259574,39.2047670918115,7925.27687143839,11.2747056058465,459.440177518626,2829.98834763775,695.758399402323,2169.79691036281,0,349.173675389443,834.39175712093,1621.244855687,4294.34961365335,8453.26642586484,46111.1651574722
"19","vC28",1217.8259275939,3105.8522477176,483.041523367834,1066.08767936783,13065.5161069605,2776.94964865505,13.7489031063214,6655.84658447651,44379,2997.00506591797,5778.22235205988,172.93805749341,4040.92180623777,9730.14011959387,16056.0554328054,79.7137983674681,0,3720.82849772419,1807.31561570896,404673.105242832,4645.84239130216,7689.80902051968,1427.24347468361,30822.5487331311,27846.6236702655,36174.2294860446,98.0286803893836,38.9431649917758,87.6233027772761,5939.06934420939,112.534596869652,862.697229173413,4554.95787066243,624.78504166136,1957.87097559879,139261.146877718,1521.3538560668,542.129351308203,4655.48586251821,15084.4248000042,17453.9057839829,133134.554715166
"20","vC29",56.1696617952233,2924.99292282014,6603.35838984922,257.229954136178,37089.2285686859,11866.5828314772,5.8803779108355,9434.53366857077,73580,255.797996520996,10714.59908445,222.473364501163,770.811051614173,16642.5890624855,11127.8221971149,183.41547363591,0,5250.16733674465,247.518397060532,272866.479256149,8306.74160495743,33716.1208718118,701.313642658662,14827.3010036672,68829.1841099991,52887.4095011137,77.6192290780952,25.2245592177821,42.9884910445115,43376.7160803556,64.627645390565,729.398043525748,7399.38148538212,1231.2335450299,4822.38763767843,132827.580782426,5092.12508825861,797.784249157805,6841.66520231253,19887.1201497411,5910.61855233334,112220.766709966
"21","vC30",33.1366002395229,260.58108354362,1267.92266196165,113.044606231144,4952.47853107185,2308.56707173547,1.3209180891645,1249.83443400506,5437,145.368003845215,1851.9512372738,78.1955028198128,1327.17299966953,7414.48302991657,7763.48747255376,195.703040123531,0,332.007790840848,551.913249515056,105349.288815422,586.223820475428,3600.99500018822,11.6146613413382,1014.3751219121,16113.7028580009,33589.5628548863,20.6698007515089,0.0110323144975233,141.990689142709,2743.00494398875,3.78466660943505,1628.32662945157,3632.3845208167,103.548777209065,663.316488041816,0,307.295262246638,49.443412635723,1432.08559939203,3545.71055223989,3087.40079966666,73127.5140251935
"22","vC31_32",60.821918644522,884.443945157341,1067.57840509299,689.932209207637,9859.13508196908,19377.4742217593,21.3823362338337,3098.64559309597,11759,0,1811.57344677125,373.433817189163,613.671663179901,3264.33007618054,11641.3947696231,1058.55849815309,0,929.846389090023,1144.89303749994,90079.7620971617,10396.3166192183,148634.726251378,1687.22438705397,16343.1241607089,9557.78678724942,981.533465372308,1075.9542788029,105.182785915377,109.872074634076,9404.00479989366,92.4693556428047,242.793619359559,3344.19662468448,318.270063253276,868.198164448691,17141.6510860417,569.61379264496,386.964495883589,3981.23756653384,6318.06829007028,642.211953576254,108252.222293465
"23","vC33",0,445.986304238751,163.027525608525,205.898789250937,0,0,3.42778907201838,917.329478393316,8750,282.18399810791,2225.66309987193,115.705212139589,978.514013788107,3935.74196872384,3004.73409119693,126.334791404895,0,235.60059390405,265.311804149957,0,0,0,417.531853491737,13404.1370074624,0,0,219.0587406412,0.196761948606031,168.451721334682,768.442252655029,216.448347843616,1267.22664100986,1059.83204327166,380.411997572502,798.72048554102,0,243.203440034474,226.819273684091,724.476112320159,0,10710.3905157505,16175.5029732177
"24","vD",98051.9044197787,37685.2138400594,35914.1374816265,40915.7542204199,410927.175989381,277612.169597746,1361.99173194455,75080.0590059394,295669.48626,2060.03295898438,150752.883462217,11676.3010344273,37710.736509527,262147.792920212,188292.98576705,28945.0819214366,11050.598052,34416.621502102,27596.87352,2822239.56754395,117032.99238,1191674.062728,13603.8195847356,151950.46552571,293487.060024,153562.947984,13457.81676304,2412.99083267477,8350.72997091201,189998.993664,864.15552,43533.5322127556,130158.809374296,25048.0757134995,71503.0017546727,1283135.53292542,21714.1551232624,8525.71807637053,57141.7226384806,182826.317084535,77730.789024,1870945.75734027
"25","vE36",5018.40698258402,353.71989171614,756.874636543668,1930.81038640333,26912.2682336481,0,708.047002158787,1456.0317022368,30667,877.621972084045,3148.47680481879,333.136385236476,1808.39558749914,8570.63553685395,11731.4924168039,6571.6338551501,0,1580.49615410026,1721.66949898895,209676.268208721,646.915079624969,8243.39709194339,116.210219606626,17383.8537177835,7736.93360794899,48906.47261889,636.786087429475,56.0764942855922,182.959927349784,698.472258024587,7.64248628829128,974.324624074456,3369.32341102679,820.918242490282,1724.55700472964,0,853.76843121243,721.063916198054,4572.6129909421,6996.86304147595,2042.31694552459,378.400628138848
"26","vE37_39",33.1933703687709,2364.18939615801,7585.8010801945,214.400206688243,0,1877.8815602368,131.598885892796,2099.86898680659,18912,0,8004.70579933791,198.291438842874,1337.4755556034,18659.2602049185,10400.3071739921,5443.72111666436,56.982348,2052.36800130228,0,102614.826125517,0,0,2703.53312696522,19386.6461406847,20172.7523959102,14998.6762686847,692.919013977812,377.789775952351,189.419997560445,133.343310391618,51.0176301222915,2203.00526244763,9442.47098999388,3176.32767648139,3187.9648760433,0,1052.59954549162,887.008916006267,5017.66514874967,1192.04316963342,4071.39855013614,36256.1653683948
